"wage","lwage","educ","nearc4","nearc2","black","smsa","south","exper","expersq","married","age","fatheduc","motheduc","IQ","KWW"
433,6.07073783874512,14,1,1,0,1,0,8,64,5,28,12,12,NA,38
538,6.28785800933838,15,1,1,0,1,0,7,49,2,28,12,12,119,37
627,6.44094705581665,12,1,1,0,1,0,7,49,6,25,12,9,108,35
481,6.17586708068848,8,1,1,0,1,0,17,289,1,31,12,11,NA,35
545,6.30078601837158,12,1,1,0,1,0,8,64,1,26,6,11,72,26
576,6.35610818862915,12,1,1,0,1,0,7,49,1,25,12,9,86,34
700,6.55108022689819,16,1,1,0,1,0,3,9,1,25,14,12,123,42
788,6.66949796676636,16,1,1,0,1,0,6,36,1,28,12,12,103,38
1012,6.91968393325806,17,1,1,0,1,0,4,16,1,27,12,12,101,42
758,6.63068294525146,12,1,1,0,1,0,6,36,1,24,12,10,NA,30
601,6.39859485626221,14,1,1,0,1,0,9,81,6,29,12,16,105,41
283,5.64544677734375,12,1,1,0,1,0,6,36,6,24,NA,12,NA,34
250,5.52146100997925,12,1,1,0,1,0,6,36,6,24,12,12,NA,29
500,6.21460819244385,12,1,1,0,1,0,8,64,1,26,10,12,95,33
550,6.30991792678833,11,1,1,0,1,0,14,196,1,31,8,6,98,41
1143,7.04141187667847,12,1,1,0,1,0,7,49,1,25,8,6,NA,27
810,6.69703388214111,18,1,1,0,1,1,7,49,4,31,8,8,115,39
313,5.74620294570923,12,1,1,1,1,0,10,100,6,28,NA,9,60,20
731,6.5944128036499,18,1,1,0,1,0,1,1,1,25,NA,4,135,36
625,6.43775177001953,16,1,1,0,1,0,3,9,1,25,9,10,132,35
588,6.37672710418701,14,1,1,0,1,0,4,16,1,24,16,12,106,33
375,5.92692613601685,14,1,1,0,1,0,6,36,1,26,12,12,113,28
817,6.70563888549805,16,1,1,0,1,1,7,49,6,29,14,11,102,43
865,6.76273012161255,14,1,1,0,1,0,10,100,1,30,15,12,91,32
350,5.85793304443359,15,1,1,0,1,1,7,49,1,28,12,12,104,30
202,5.30826807022095,13,1,1,0,1,1,5,25,1,24,12,12,NA,22
505,6.22455787658691,13,1,1,0,1,1,13,169,1,32,16,16,97,43
816,6.70441389083862,17,1,1,0,1,0,7,49,1,30,12,13,125,41
625,6.43775177001953,18,1,1,0,1,0,2,4,6,26,14,12,123,41
769,6.64509105682373,18,1,1,0,1,0,8,64,6,32,16,16,128,35
500,6.21460819244385,17,1,1,0,1,0,4,16,6,27,16,17,133,38
619,6.42810487747192,17,1,1,0,1,0,4,16,1,27,12,8,114,32
650,6.47697305679321,12,1,1,0,1,0,12,144,1,30,NA,8,103,40
769,6.64509105682373,18,1,0,0,1,0,4,16,1,28,10,12,130,36
512,6.23832511901855,12,1,0,0,1,0,8,64,1,26,10,12,97,33
625,6.43775177001953,18,1,0,0,1,0,7,49,1,31,12,13,132,46
1111,7.01301622390747,14,1,0,0,1,0,11,121,1,31,12,12,98,41
721,6.58063888549805,13,1,0,0,1,0,9,81,1,28,12,12,108,41
1154,7.05099010467529,14,1,0,0,1,0,12,144,1,32,13,12,107,44
827,6.71780490875244,18,1,0,0,0,0,10,100,6,34,18,18,129,40
923,6.82762908935547,16,1,0,0,1,0,12,144,1,34,14,12,NA,56
1076,6.98100614547729,17,1,0,0,1,0,5,25,1,28,14,17,132,42
625,6.43775177001953,12,1,0,0,1,0,15,225,1,33,NA,8,101,37
460,6.13122701644897,13,1,0,0,1,0,8,64,1,27,NA,8,92,24
900,6.80239486694336,14,1,0,1,1,0,4,16,6,24,8,12,108,39
682,6.5250301361084,18,1,0,0,1,0,5,25,1,29,8,9,132,NA
411,6.01859283447266,12,1,0,0,1,0,6,36,1,24,10,12,NA,20
625,6.43775177001953,13,1,0,0,1,0,8,64,1,27,12,15,106,35
1005,6.91274309158325,18,1,0,0,1,0,8,64,1,32,12,12,123,46
725,6.58617210388184,11,1,0,0,1,0,7,49,1,24,9,11,109,24
750,6.62007284164429,15,1,0,0,1,0,6,36,1,27,8,11,103,35
529,6.27098798751831,14,1,0,0,1,0,9,81,1,29,NA,8,108,33
972,6.87935590744019,17,1,0,0,1,0,6,36,1,29,8,12,122,47
472,6.15697908401489,12,1,0,0,0,0,8,64,1,26,12,12,109,36
325,5.7838249206543,12,1,0,0,1,0,6,36,6,24,12,12,102,35
875,6.77422380447388,12,1,0,0,1,0,16,256,1,34,NA,12,109,44
625,6.43775177001953,13,1,0,0,1,0,15,225,1,34,9,10,100,40
337,5.8200831413269,12,1,0,0,1,0,8,64,1,26,8,10,93,29
481,6.17586708068848,16,1,0,0,1,0,5,25,1,27,5,5,115,37
650,6.47697305679321,9,1,0,0,1,0,14,196,6,29,5,NA,NA,NA
383,5.94803476333618,16,1,0,0,1,0,3,9,6,25,5,4,NA,39
962,6.86901378631592,18,1,0,0,1,0,6,36,1,30,15,14,125,50
615,6.42162179946899,16,1,0,0,0,0,7,49,6,29,13,12,106,31
702,6.55393409729004,14,1,0,0,1,0,8,64,1,28,12,12,113,43
635,6.45362520217896,14,1,0,0,1,0,11,121,6,31,NA,12,122,41
200,5.29831695556641,12,1,0,0,1,0,10,100,4,28,10,11,NA,35
817,6.70563888549805,12,1,0,0,1,0,9,81,1,27,10,10,116,43
577,6.35784196853638,14,1,0,0,1,0,6,36,1,26,NA,12,116,39
466,6.14418601989746,17,1,0,0,1,0,3,9,1,26,12,12,105,34
924,6.82871198654175,16,1,0,0,1,0,7,49,1,29,NA,12,NA,39
793,6.67582321166992,16,1,0,0,1,1,9,81,1,31,12,12,112,38
635,6.45362520217896,14,1,0,0,1,0,8,64,1,28,12,12,113,32
570,6.34563589096069,12,1,0,0,1,0,7,49,6,25,NA,NA,NA,22
705,6.55819797515869,16,1,0,0,1,0,7,49,1,29,12,12,94,37
635,6.45362520217896,14,1,0,0,1,0,8,64,1,28,12,9,103,40
694,6.54247188568115,12,1,0,0,1,0,12,144,1,30,NA,12,102,36
615,6.42162179946899,13,1,0,0,1,0,15,225,1,34,10,12,109,47
462,6.13556480407715,16,1,0,0,1,0,4,16,6,26,15,10,130,34
865,6.76273012161255,12,1,0,0,1,0,16,256,1,34,12,12,105,45
737,6.60258817672729,18,1,0,0,1,1,9,81,1,33,12,12,134,46
1400,7.24422693252563,12,1,0,0,1,0,7,49,1,25,8,14,NA,39
808,6.69456195831299,12,1,0,0,1,0,13,169,1,31,NA,7,105,43
654,6.48310804367065,16,1,0,0,1,0,4,16,1,26,11,12,104,36
300,5.70378303527832,12,1,0,0,1,0,7,49,1,25,NA,12,112,35
577,6.35784196853638,16,1,0,0,1,0,8,64,4,30,8,10,115,37
265,5.57973003387451,16,1,0,0,1,0,2,4,6,24,10,12,NA,44
594,6.38687896728516,18,1,0,0,0,0,7,49,1,31,8,8,117,33
325,5.7838249206543,17,1,0,0,1,0,3,9,1,26,12,8,114,29
385,5.95324277877808,16,1,0,0,0,0,2,4,6,24,12,8,118,37
1000,6.90775489807129,18,1,0,0,1,0,1,1,1,25,12,12,107,32
465,6.14203691482544,18,1,0,0,1,0,4,16,6,28,8,11,120,49
440,6.0867748260498,16,1,0,0,1,0,6,36,6,28,16,18,131,43
625,6.43775177001953,16,1,0,0,1,0,5,25,6,27,16,17,124,40
285,5.65248918533325,17,1,0,0,1,0,4,16,1,27,11,12,121,36
650,6.47697305679321,14,1,0,0,1,0,7,49,1,27,10,12,110,35
808,6.69456195831299,13,1,0,0,1,0,6,36,1,25,10,12,103,34
500,6.21460819244385,12,1,0,0,1,0,6,36,1,24,10,12,NA,26
831,6.7226300239563,16,1,0,0,1,0,4,16,1,26,14,12,115,45
500,6.21460819244385,12,1,0,0,1,0,13,169,1,31,8,6,96,33
693,6.54102993011475,17,1,0,0,1,0,9,81,1,32,12,12,123,48
1100,7.00306606292725,12,1,0,0,1,0,9,81,1,27,12,10,101,37
763,6.63725805282593,12,1,0,0,1,0,7,49,1,25,8,12,98,34
795,6.67834186553955,12,1,1,0,1,0,9,81,1,27,8,9,NA,28
333,5.8081431388855,16,1,1,0,1,0,3,9,6,25,7,8,108,31
409,6.01371479034424,18,1,1,0,1,0,6,36,1,30,16,12,138,39
865,6.76273012161255,16,1,1,0,1,0,5,25,1,27,NA,12,121,37
888,6.78897190093994,12,1,1,0,1,0,13,169,1,31,8,12,96,34
673,6.5117449760437,12,1,1,0,1,0,16,256,1,34,NA,12,89,47
700,6.55108022689819,12,1,1,0,0,0,15,225,6,33,7,NA,109,43
250,5.52146100997925,18,1,1,0,1,1,9,81,6,33,16,16,133,44
625,6.43775177001953,11,1,1,0,1,0,10,100,6,27,11,9,84,32
417,6.03308582305908,13,1,1,0,1,0,12,144,4,31,8,12,NA,37
576,6.35610818862915,13,1,1,0,1,0,9,81,1,28,8,12,98,51
613,6.41836500167847,12,1,1,1,1,0,8,64,6,26,12,9,85,27
700,6.55108022689819,12,1,1,0,1,0,13,169,1,31,11,9,105,NA
450,6.10924816131592,12,1,1,0,1,0,6,36,6,24,11,9,93,20
500,6.21460819244385,16,1,1,0,1,0,6,36,1,28,NA,12,115,38
514,6.24222278594971,12,1,1,0,0,0,7,49,1,25,12,NA,NA,36
250,5.52146100997925,16,1,1,0,1,0,3,9,6,25,12,12,146,45
315,5.75257301330566,12,1,1,0,0,0,6,36,6,24,12,12,NA,32
375,5.92692613601685,12,1,1,0,1,0,11,121,1,29,9,12,82,32
457,6.12468290328979,15,1,1,0,0,0,13,169,1,34,NA,12,120,45
275,5.61677122116089,12,1,1,1,1,0,9,81,6,27,NA,NA,NA,26
951,6.85751390457153,12,1,1,0,1,0,10,100,1,28,NA,12,122,38
1115,7.01661014556885,16,1,1,0,1,0,10,100,1,32,8,9,NA,49
289,5.66642713546753,16,1,1,0,0,0,3,9,6,25,12,14,128,31
500,6.21460819244385,16,1,1,0,1,0,3,9,1,25,NA,NA,110,34
726,6.58755016326904,18,1,1,0,1,0,8,64,1,32,16,12,114,46
1265,7.1428279876709,18,1,1,0,1,0,5,25,1,29,18,12,117,48
613,6.41836500167847,17,1,1,1,1,0,3,9,6,26,18,18,109,40
545,6.30078601837158,12,1,0,0,1,0,10,100,6,28,10,11,91,35
278,5.62762117385864,13,1,0,0,1,0,9,81,1,28,12,8,107,32
1442,7.27378702163696,18,1,0,0,1,0,10,100,1,34,16,12,114,55
995,6.90274286270142,16,1,0,0,1,0,5,25,1,27,16,12,126,40
700,6.55108022689819,12,1,0,0,1,0,11,121,1,29,11,11,82,45
577,6.35784196853638,16,1,0,0,1,0,6,36,1,28,9,12,119,45
858,6.75460386276245,16,1,0,0,1,0,9,81,1,31,6,12,104,37
686,6.5308780670166,12,1,0,0,1,0,10,100,1,28,12,NA,97,35
832,6.72383308410645,15,1,0,0,1,0,10,100,1,31,11,NA,115,49
633,6.45046997070312,13,1,1,0,1,0,14,196,1,33,13,8,83,45
689,6.53524112701416,12,1,1,0,1,0,14,196,1,32,12,12,97,45
769,6.64509105682373,14,1,1,0,1,0,10,100,1,30,8,8,119,43
385,5.95324277877808,15,1,1,0,1,0,6,36,6,27,12,14,105,27
450,6.10924816131592,12,1,1,0,1,0,6,36,6,24,12,14,NA,29
615,6.42162179946899,12,1,1,0,1,0,9,81,1,27,10,12,114,41
682,6.5250301361084,12,1,1,0,1,0,16,256,1,34,NA,8,93,47
670,6.50727701187134,10,1,1,0,1,0,16,256,5,32,NA,NA,73,28
800,6.68461179733276,11,1,1,0,1,0,16,256,1,33,8,8,96,48
505,6.22455787658691,14,1,1,0,1,0,14,196,1,34,8,8,NA,48
1026,6.93342304229736,18,1,1,0,1,0,6,36,5,30,12,16,117,48
769,6.64509105682373,15,1,1,0,1,0,4,16,6,25,16,12,113,30
290,5.66988086700439,10,1,1,0,1,1,16,256,1,32,10,14,106,38
529,6.27098798751831,13,1,1,0,1,0,9,81,1,28,NA,8,104,37
1154,7.05099010467529,16,1,1,0,1,0,7,49,1,29,12,12,NA,NA
549,6.30809783935547,10,1,1,0,1,0,13,169,1,29,12,NA,80,39
475,6.16331481933594,12,1,1,0,1,0,8,64,1,26,8,12,104,30
450,6.10924816131592,12,1,1,0,1,0,8,64,1,26,12,12,102,36
875,6.77422380447388,17,1,1,0,1,0,4,16,6,27,10,NA,114,43
200,5.29831695556641,15,1,1,0,1,0,4,16,6,25,10,NA,93,33
300,5.70378303527832,13,1,1,0,0,0,7,49,6,26,16,16,122,36
462,6.13556480407715,16,1,1,0,0,0,3,9,6,25,16,NA,117,28
385,5.95324277877808,12,1,1,0,1,0,12,144,1,30,13,12,96,38
1282,7.15617704391479,15,1,1,0,1,0,11,121,1,32,16,16,95,51
588,6.37672710418701,16,1,1,0,1,0,3,9,6,25,12,12,117,29
600,6.39693021774292,12,1,1,0,1,0,9,81,6,27,17,16,105,24
500,6.21460819244385,16,1,1,0,1,0,8,64,1,30,6,NA,NA,43
440,6.0867748260498,12,1,1,1,1,0,15,225,1,33,8,8,94,18
467,6.14632892608643,18,1,0,0,1,1,2,4,6,26,13,16,139,43
929,6.83410882949829,17,1,0,0,1,0,6,36,1,29,14,12,91,41
556,6.32076787948608,16,1,0,0,1,0,5,25,1,27,14,12,96,37
438,6.08221912384033,13,1,0,0,1,0,5,25,6,24,14,12,114,32
600,6.39693021774292,12,1,0,1,1,0,11,121,1,29,9,10,54,31
575,6.3543701171875,12,1,0,1,1,0,8,64,1,26,9,10,69,37
389,5.96357917785645,12,1,0,1,1,0,8,64,6,26,9,10,67,17
795,6.67834186553955,12,1,0,0,0,0,16,256,1,34,12,NA,110,37
471,6.15485811233521,18,1,0,0,1,0,3,9,1,27,18,16,125,41
202,5.30826807022095,17,1,0,0,1,0,3,9,6,26,18,16,124,38
200,5.29831695556641,17,1,0,0,1,0,1,1,6,24,18,16,NA,35
350,5.85793304443359,17,1,0,0,1,0,1,1,6,24,15,17,113,35
375,5.92692613601685,14,1,0,0,0,0,4,16,6,24,10,12,100,40
481,6.17586708068848,16,1,0,0,1,0,3,9,1,25,12,9,97,37
962,6.86901378631592,18,1,0,0,1,0,7,49,6,31,8,8,125,44
423,6.04737186431885,15,1,0,0,1,0,6,36,6,27,12,12,106,42
500,6.21460819244385,15,1,0,0,1,0,6,36,6,27,11,12,101,28
450,6.10924816131592,9,1,0,0,1,0,15,225,1,30,NA,11,NA,37
476,6.16541814804077,8,1,0,0,1,0,14,196,1,28,8,9,NA,27
136,4.91265487670898,12,1,0,0,1,0,6,36,6,24,8,9,NA,21
575,6.3543701171875,12,1,0,0,1,0,14,196,1,32,10,9,91,39
577,6.35784196853638,12,1,0,0,1,0,15,225,1,33,10,8,86,28
310,5.73657178878784,12,1,0,0,1,0,13,169,1,31,8,9,110,32
700,6.55108022689819,9,1,0,0,1,0,15,225,1,30,12,12,NA,38
1322,7.1869010925293,14,1,0,0,1,0,12,144,1,32,NA,12,92,47
551,6.31173515319824,10,1,0,0,1,0,18,324,1,34,12,9,85,41
881,6.78105783462524,17,1,0,0,1,0,7,49,1,30,8,8,120,36
760,6.6333179473877,12,1,0,0,1,0,7,49,1,25,7,12,NA,27
708,6.56244421005249,12,1,0,0,1,0,14,196,1,32,8,11,NA,52
425,6.05208921432495,12,1,0,0,1,0,8,64,1,26,8,8,NA,24
427,6.05678415298462,12,1,0,0,1,0,8,64,6,26,NA,9,107,35
576,6.35610818862915,16,1,0,0,1,0,2,4,6,24,NA,9,116,43
400,5.99146509170532,9,1,0,0,1,0,17,289,4,32,NA,4,NA,34
500,6.21460819244385,12,1,0,0,0,0,13,169,1,31,8,5,NA,30
531,6.27476215362549,12,1,0,0,0,0,10,100,1,28,8,5,NA,29
673,6.5117449760437,16,1,0,0,1,0,6,36,1,28,12,12,121,43
577,6.35784196853638,16,1,0,0,1,1,5,25,6,27,12,12,112,41
325,5.7838249206543,16,1,0,0,1,0,2,4,6,24,16,12,NA,39
500,6.21460819244385,11,1,0,0,0,0,12,144,1,29,7,11,NA,40
770,6.64638996124268,12,1,0,0,0,0,7,49,1,25,7,11,100,43
500,6.21460819244385,12,1,0,0,1,0,8,64,1,26,7,12,112,37
391,5.96870803833008,16,1,0,0,1,0,6,36,1,28,14,12,108,41
810,6.69703388214111,12,1,0,0,1,0,16,256,1,34,12,10,90,42
543,6.29710912704468,9,1,1,1,0,0,19,361,1,34,12,NA,86,39
593,6.38519382476807,9,1,1,1,0,0,19,361,5,34,12,12,NA,37
864,6.76157283782959,17,1,1,0,1,0,2,4,6,25,12,12,127,40
700,6.55108022689819,10,1,1,1,0,0,12,144,1,28,NA,8,86,32
510,6.23441076278687,12,1,1,0,0,0,7,49,1,25,12,12,113,27
615,6.42162179946899,13,1,1,0,1,0,15,225,4,34,9,12,111,51
761,6.63463401794434,14,1,1,0,1,0,9,81,1,29,9,8,113,41
493,6.2005090713501,10,1,1,0,1,0,15,225,1,31,NA,NA,81,32
445,6.09807395935059,16,1,1,0,1,0,2,4,1,24,12,12,111,34
425,6.05208921432495,12,1,1,0,1,0,7,49,1,25,8,9,NA,20
750,6.62007284164429,16,1,1,0,1,0,2,4,6,24,12,12,112,24
700,6.55108022689819,16,1,1,0,1,0,2,4,1,24,12,12,114,30
438,6.08221912384033,12,1,1,0,1,0,6,36,1,24,9,9,NA,33
608,6.41017484664917,12,1,1,0,1,0,11,121,1,29,12,12,111,30
450,6.10924816131592,13,1,1,0,1,0,5,25,1,24,7,8,106,32
313,5.74620294570923,3,1,1,0,1,0,17,289,1,26,4,0,NA,6
250,5.52146100997925,7,1,1,1,1,0,20,400,1,33,6,5,NA,NA
500,6.21460819244385,14,1,1,0,1,0,13,169,1,33,12,12,79,26
365,5.89989805221558,12,0,0,0,1,0,8,64,6,26,11,12,98,28
813,6.70073080062866,12,0,0,0,1,0,8,64,1,26,10,12,105,28
326,5.7868971824646,12,0,0,0,0,0,7,49,4,25,10,12,NA,33
524,6.2614917755127,12,0,0,0,0,0,11,121,1,29,NA,10,105,29
815,6.70318794250488,13,0,0,0,1,0,9,81,1,28,9,12,118,44
750,6.62007284164429,12,0,0,0,1,0,10,100,1,28,11,12,100,35
525,6.26339817047119,17,0,0,0,1,0,1,1,1,24,9,10,NA,36
1125,7.02553796768188,12,0,0,0,1,0,14,196,1,32,8,12,90,38
625,6.43775177001953,12,0,0,0,1,0,10,100,6,28,8,9,95,34
715,6.57228183746338,14,0,0,0,1,0,5,25,1,25,12,12,112,24
591,6.38181591033936,12,0,0,0,0,0,13,169,1,31,8,12,96,32
404,6.00141477584839,17,0,0,0,1,0,4,16,6,27,12,12,127,37
675,6.51471281051636,12,1,0,0,1,0,10,100,1,28,10,12,120,39
444,6.0958251953125,12,1,0,0,1,0,7,49,6,25,10,12,123,41
488,6.19031476974487,12,1,0,0,1,0,6,36,1,24,10,12,NA,34
695,6.54391193389893,9,1,0,0,1,0,19,361,1,34,10,6,NA,42
700,6.55108022689819,12,1,0,0,1,1,7,49,1,25,10,12,98,25
325,5.7838249206543,12,1,0,0,1,1,6,36,1,24,7,10,NA,24
556,6.32076787948608,9,1,0,0,1,0,10,100,1,25,12,11,NA,30
325,5.7838249206543,12,1,1,0,1,0,8,64,6,26,8,12,114,25
668,6.50428819656372,13,1,1,0,1,0,7,49,1,26,15,16,103,32
2404,7.78488922119141,18,1,1,0,1,0,7,49,1,31,18,16,121,40
758,6.63068294525146,16,1,1,0,1,0,3,9,6,25,12,14,117,38
986,6.89365577697754,16,1,1,0,1,0,12,144,1,34,12,12,90,44
577,6.35784196853638,12,1,1,0,1,0,7,49,1,25,12,12,125,32
286,5.65599203109741,17,1,1,0,0,0,6,36,1,29,12,12,104,39
231,5.44241809844971,14,1,1,0,1,1,8,64,6,28,18,16,106,40
513,6.24027585983276,12,1,1,0,1,0,7,49,1,25,7,10,NA,33
615,6.42162179946899,15,1,1,0,1,0,7,49,4,28,9,10,122,36
700,6.55108022689819,15,1,1,0,1,0,4,16,1,25,9,10,120,43
714,6.57088279724121,18,1,1,0,1,0,9,81,1,33,12,7,112,41
701,6.55250787734985,9,1,1,0,1,0,15,225,1,30,8,8,NA,31
462,6.13556480407715,12,1,1,1,1,0,6,36,1,24,7,9,NA,29
868,6.76619100570679,18,1,1,0,1,0,4,16,6,28,8,9,109,34
917,6.82110691070557,16,1,1,0,0,0,7,49,6,29,9,10,128,46
1065,6.97072982788086,12,1,1,0,1,0,9,81,1,27,12,12,97,35
400,5.99146509170532,12,1,0,0,1,1,11,121,4,29,12,12,96,35
640,6.46146821975708,12,1,0,0,1,0,9,81,1,27,12,12,103,41
285,5.65248918533325,13,1,0,0,1,0,5,25,6,24,8,8,NA,16
641,6.46302890777588,17,1,0,0,1,1,4,16,6,27,12,12,127,38
389,5.96357917785645,13,1,1,0,1,0,13,169,1,32,NA,4,NA,21
1010,6.91770601272583,12,1,1,0,1,0,7,49,1,25,12,10,NA,29
817,6.70563888549805,12,1,1,0,0,0,6,36,1,24,8,12,97,44
975,6.88243818283081,17,1,1,0,1,0,4,16,1,27,10,9,120,43
750,6.62007284164429,12,1,1,1,1,0,11,121,4,29,6,7,78,21
463,6.13772678375244,15,1,1,0,0,0,3,9,1,24,7,8,118,46
1387,7.23489904403687,12,1,1,0,1,0,10,100,1,28,12,NA,NA,NA
577,6.35784196853638,12,1,1,0,1,0,7,49,6,25,12,NA,NA,41
401,5.99396085739136,12,1,1,0,1,0,9,81,6,27,11,9,89,27
320,5.76832103729248,10,1,1,0,1,0,10,100,1,26,11,9,NA,24
514,6.24222278594971,12,1,1,0,1,0,9,81,1,27,14,12,NA,36
208,5.33753776550293,11,1,1,0,1,0,8,64,6,25,14,12,NA,NA
1192,7.08338785171509,17,1,1,0,1,0,4,16,1,27,8,6,122,50
625,6.43775177001953,14,1,1,0,1,0,6,36,6,26,7,6,98,33
481,6.17586708068848,17,1,1,0,1,0,11,121,1,34,7,7,NA,44
714,6.57088279724121,13,1,1,0,1,0,8,64,1,27,12,12,101,18
625,6.43775177001953,11,1,1,0,1,0,10,100,1,27,1,4,NA,30
553,6.31535816192627,12,1,1,0,1,0,12,144,1,30,NA,7,112,39
579,6.3613018989563,12,1,1,0,1,0,16,256,1,34,5,2,88,32
841,6.73459100723267,18,1,1,0,1,0,4,16,6,28,12,16,NA,52
1923,7.56164216995239,18,1,1,0,1,0,9,81,1,33,12,12,136,48
806,6.69208383560181,16,1,1,0,1,0,4,16,1,26,13,10,124,50
344,5.84064102172852,12,1,1,1,1,0,11,121,1,29,NA,6,96,31
962,6.86901378631592,12,1,1,0,1,0,14,196,1,32,11,14,97,39
600,6.39693021774292,12,1,1,0,0,0,14,196,1,32,10,10,NA,40
